jobseeker_payment,youth_allowance_other,parenting_payment_single,disability_support_pension,carer_payment,score_range
-0.9238042281728955,-0.6064577122120463,-0.5591723009799874,-1.1837855740243548,-0.8442980716347276,-1.2570394542825853
-1.19102836775531,-0.745269144118359,-0.9876349079845297,-1.1837855740243548,-0.8102292872745496,-1.6837095594428257
-0.5675053753963429,-0.745269144118359,-0.39849882335328407,-0.19100117200453628,-0.3332663062320571,-0.5404358682835556
-0.5853203180351705,-0.6064577122120463,-0.666287952731123,-0.7446693962078966,-0.4354726593125912,-0.6382786877271968
2.033476249872491,0.642845174944769,0.1906372612779616,2.653707979936867,1.6427231866582688,0.26801072157539924
-0.6031352606739981,-0.6064577122120463,-0.666287952731123,-0.5155653034340923,-0.2651287375117011,0.34746843549270534
0.14509233015676237,0.08759944731951778,0.1906372612779616,0.629955160434929,0.5525220871325718,0.5253671562661347
-0.852544457617585,-0.6064577122120463,-0.8269614303578263,-0.763761403939047,-0.7080229341940155,-0.4837458257196057
0.002572789046141328,-0.05121198458679502,-0.023594042224309556,0.24811500581192192,-0.0947848157108109,-0.6153732487179037
-0.8703594002564127,-0.745269144118359,-0.8269614303578263,-0.9355894735194001,-0.7420917185541935,-0.9613340340740102
0.5370210682109703,0.5040337430384562,0.5119842165313683,0.4963111063168765,0.24590302789096943,0.8204929097887991
0.16290727279559,0.22641087922583059,0.45842639065580054,0.5154031140480269,0.04149032172990123,1.1269881877576011
-0.6387651459516535,-0.745269144118359,-0.2913831716021485,-0.8019454194013477,-0.4354726593125912,-0.2990484037992009
-0.3893559490080666,-0.6064577122120463,-0.3449409974777163,-0.229185187466837,-0.2991975218718791,0.4220767089138769
-0.7634697444234468,-0.6064577122120463,-0.666287952731123,-0.7064853807455959,-0.6058165811134814,-0.48885117053797433
1.0002095768204886,1.892148062101584,0.7797733459092072,1.3936354696809432,0.3821781653316816,0.09783536025408394
-1.0841387119223442,-0.745269144118359,-0.666287952731123,-1.1265095508309038,-0.8102292872745496,-1.1883338092058529
1.766252110290077,1.3369023344763329,1.6366985599182917,0.6490471681660794,0.6206596558529278,0.13283660018035576
0.3232417565450387,-0.1900234164931078,-0.3449409974777163,0.629955160434929,0.3140405966113255,0.277526921301257
-1.0663237692835166,-0.745269144118359,-0.8805192562333941,-0.9928654967128513,-0.8102292872745496,-0.23413488635080712
-0.4606157195633771,-0.745269144118359,-0.666287952731123,-0.5155653034340923,-0.5376790123931253,-0.6404679281187151
3.0845578655633217,4.3907538364152146,4.796610286576792,4.219252613891196,2.9714057767052124,0.7489068033499657
0.6260957814051085,0.9204680387573946,0.5655420424069361,0.019010913038117642,0.07555910609007926,0.1987266943086785
-0.51406054747986,-0.4676462803057334,-0.45205664922885186,-0.42010526477834054,-0.4014038749524132,-0.640431695226712
-0.49624560484103236,-0.3288348483994206,-0.5056144751044196,-0.6301173498209944,-0.4695414436727693,-0.23074925152370038
-0.8169145723399297,-0.745269144118359,-0.7734036044822585,-0.5346573111652427,-0.8102292872745496,-0.6518743182766271
1.7484371676512493,1.892148062101584,2.4400659480518088,2.2527758175827093,1.7449295397388032,0.9831653893866105
1.0002095768204886,0.9204680387573946,0.7797733459092072,0.6681391758972297,0.6887972245732839,0.10436931419557072
0.05601761696262422,-0.05121198458679502,0.6726576941580716,-0.21009317973568664,-0.23105995315152303,-0.855070275085467
-0.4428007769245495,-0.745269144118359,-0.7198457786066907,-0.24827719519798735,-0.0947848157108109,-0.5897284905384144
-0.710024916506964,-0.4676462803057334,-0.7198457786066907,-0.8783134503259491,-0.7080229341940155,5.337113151873749
0.554836010849798,0.3652223111321434,1.2082359529137496,0.839967245477583,0.6206596558529278,1.045074295133098
-0.51406054747986,-0.1900234164931078,0.02996378365125823,-0.6873933730144456,-0.5376790123931253,0.46648443843431514
0.10946244487910713,0.3652223111321434,0.1906372612779616,0.11447095169386942,0.2799718122511475,-0.4962813353106254
2.728259012786769,1.6145251982889586,0.9404468235359106,2.558247941281115,5.356220681917675,0.10741786048522596
-0.6031352606739981,-0.6064577122120463,-0.6127301268555552,-0.5346573111652427,-0.4014038749524132,-0.7632205251706256
0.2697969286285558,1.3369023344763329,-0.6127301268555552,-0.9928654967128513,-0.7761605029143716,3.972987737124631
-0.9238042281728955,-0.6064577122120463,-0.7734036044822585,-1.0692335276374527,-0.7080229341940155,-1.500273274927136
-0.22902146525861788,-0.1900234164931078,-0.45205664922885186,0.038102920769267995,0.007421537369723198,0.4186265377834593
-0.5318754901186876,-0.4676462803057334,-0.7198457786066907,-0.9164974657882499,-0.7761605029143716,-0.6532717630999861
0.6617256666827637,0.5040337430384562,-0.13070969397544513,0.4199430753922751,2.32409887386183,-0.3811431878434791
1.231803831125248,-0.05121198458679502,0.5655420424069361,1.2027153923694398,2.0856173833405833,-0.33468206299197795
-0.9594341134505509,-0.745269144118359,-0.9340770821089619,-1.0692335276374527,-0.8442980716347276,-0.8676258176839313
-0.5853203180351705,-0.4676462803057334,-0.5056144751044196,-0.6873933730144456,-0.6058165811134814,-0.5907482777214852
3.6190061447281505,5.084810995946778,6.189113759341554,3.1691921886779264,3.754987816989307,2.0966359844228344
1.374323372235869,1.892148062101584,1.583140734042724,0.11447095169386942,-0.196991168791345,0.8264200152099548
-0.21120652261979025,-0.1900234164931078,-0.3449409974777163,-0.07644912561763414,-0.06071603135063287,-0.49591216001979865
-0.8347295149787574,-0.745269144118359,-0.7734036044822585,-0.9737734889817009,-0.7420917185541935,-0.6425848596112244
0.6082808387662808,0.9204680387573946,0.833331171784775,-0.21009317973568664,-0.4695414436727693,-0.03729068946564051
-0.0686869815091692,-0.4676462803057334,-0.5056144751044196,-0.4391972725094909,-0.6058165811134814,-0.787661941473577
-0.9594341134505509,-0.745269144118359,-0.8269614303578263,-0.8592214425947987,-0.7420917185541935,-0.14070804245048296
-0.4071708916468942,-0.3288348483994206,-0.39849882335328407,-0.0955411333487845,-0.3332663062320571,-0.3848257222496196
1.2496187737640756,0.9204680387573946,0.833331171784775,1.1454393691759888,0.9613474994547081,0.6233391131823068
-0.51406054747986,-0.3288348483994206,-0.07715186809987734,-0.7828534116701973,-0.6398853654736595,-0.3743684765246183
-0.12213180942565209,-0.6064577122120463,-0.7734036044822585,-8.109469303271456e-05,-0.196991168791345,0.049571365048531664
-0.3715410063692389,-0.4676462803057334,0.08352160952682601,-0.5728413266275434,0.3481093809715035,-0.6947889898641938
-0.8347295149787574,-0.745269144118359,-0.9340770821089619,-0.763761403939047,-0.7080229341940155,-1.0498650681559631
4.278159022364773,3.0026395173520863,1.797372037544995,3.36011226598943,3.2780248359468147,0.26046122313408404
-0.9238042281728955,-0.6064577122120463,-0.9876349079845297,-0.9737734889817009,-0.7080229341940155,-1.0554561779548675
-1.0841387119223442,-0.745269144118359,-0.9340770821089619,-1.0692335276374527,-0.7420917185541935,-1.1965862263554186
-0.4606157195633771,-0.4676462803057334,-0.3449409974777163,-0.13372514881108521,-0.2991975218718791,-0.34980504970272386
2.3007003894549056,1.3369023344763329,2.065161166922834,2.3482358562384613,1.3701729117768444,-0.032535693738334356
0.02038773168496896,-0.4676462803057334,-0.07715186809987734,0.40085106766112477,0.1096278904502573,0.3046275066425164
-0.26465135053627314,-0.4676462803057334,-0.2913831716021485,-0.01917310242418307,-0.12885360007098892,-1.0148613173154668
3.262707291951598,2.8638280854457734,2.8149707291807835,2.9019040804418212,2.766993070544144,1.2103778538120162
0.5904658961274531,0.22641087922583059,-0.45205664922885186,0.839967245477583,-0.4695414436727693,0.03393393206428781
0.8042452077933848,0.642845174944769,1.797372037544995,1.107255353713688,0.6887972245732839,2.653431982104352
0.1985371580732453,0.7816566068510817,0.9404468235359106,-0.3055532183914384,-0.026647246990454836,0.02598786002659558
-0.6743950312293087,-0.4676462803057334,-0.7198457786066907,-0.3437372338537391,-0.5376790123931253,-0.4201016014330614
0.14509233015676237,0.3652223111321434,1.3153516046648852,0.22902299808077156,0.4503157340520376,-0.20527177574465885
